2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,376,-102.0,1,17.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,421,-111.0,1,14.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,113,-100.0,1,17.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,377,-100.0,1,5.0,NIL,1,1,1,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,300,-89.0,1,16.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,474,-109.0,1,15.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,60,-85.0,1,12.0,NIL,NIL,1,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046851,38400,35,-114.0,1,6.0,NIL,1,1,1,1
2018-03-21,2018-03-21 17:45:00.000,453308,116046850,38400,447,-108.0,1,15.0,NIL,NIL,NIL,NIL,NIL
2018-03-21,2018-03-21 17:45:00.000,453308,116046849,38400,85,-106.0,1,25.0,NIL,NIL,NIL,NIL,NIL
